combination_woo_id,combination_sku,combination_name,quarantine_group_ids,quarantine_reason,blocked_components,current_price,price_missing,exclusion_status,publication_allowed
4587,0201001|0201001|1249001|1249001|0615011|0615011,"Crudo, Crudo, Amarillo, Amarillo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4588,0201001|0201001|1249001|1249001|0609011|0609011,"Crudo, Crudo, Azul, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4591,0201001|0201001|1249001|1249001|0606011|0606011,"Crudo, Crudo, Granate, Granate",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4594,0201001|0201001|1249001|1249001|0616011|0616011,"Crudo, Crudo, Negro, Negro",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0616011 | 1249001,749.90,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4596,0201001|0201001|1249001|1249001|0607011|0607011,"Crudo, Crudo, Rojo, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4598,0201001|0201001|1249001|1249001|0615011|0609011,"Crudo, Crudo, Amarillo, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0609011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4600,0201001|0201001|1249001|1249001|0615011|0608011,"Crudo, Crudo, Amarillo, Crudo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0608011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4601,0201001|0201001|1249001|1249001|0615011|0606011,"Crudo, Crudo, Amarillo, Granate",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4604,0201001|0201001|1249001|1249001|0619007|0616011,"Crudo, Crudo, Marrón, Negro",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0616011 | 0619007 | 1249001,749.90,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4605,0201001|0201001|1249001|1249001|0615011|0607011,"Crudo, Crudo, Amarillo, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4608,0201001|0201001|1249001|1249001|0609011|0615011,"Crudo, Crudo, Azul, Amarillo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0609011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4610,0201001|0201001|1249001|1249001|0609011|0608011,"Crudo, Crudo, Azul, Crudo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0608011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4611,0201001|0201001|1249001|1249001|0609011|0606011,"Crudo, Crudo, Azul, Granate",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4614,0201001|0201001|1249001|1249001|0609011|0616011,"Crudo, Crudo, Azul, Negro",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0609011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4615,0201001|0201001|1249001|1249001|0609011|0607011,"Crudo, Crudo, Azul, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4629,0201001|0201001|1249001|1249001|0608011|0609011,"Crudo, Crudo, Crudo, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0608011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4631,0201001|0201001|1249001|1249001|0608011|0606011,"Crudo, Crudo, Crudo, Granate",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0608011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4634,0201001|0201001|1249001|1249001|0608011|0616011,"Crudo, Crudo, Crudo, Negro",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0608011 | 0616011 | 1249001,749.90,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4635,0201001|0201001|1249001|1249001|0608011|0607011,"Crudo, Crudo, Crudo, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0608011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4638,0201001|0201001|1249001|1249001|0606011|0615011,"Crudo, Crudo, Granate, Amarillo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4639,0201001|0201001|1249001|1249001|0606011|0609011,"Crudo, Crudo, Granate, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4641,0201001|0201001|1249001|1249001|0606011|0608011,"Crudo, Crudo, Granate, Crudo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0608011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4644,0201001|0201001|1249001|1249001|0606011|0616011,"Crudo, Crudo, Granate, Negro",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4645,0201001|0201001|1249001|1249001|0606011|0607011,"Crudo, Crudo, Granate, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0607011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4668,0201001|0201001|1249001|1249001|0616011|0615011,"Crudo, Crudo, Negro, Amarillo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0615011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4669,0201001|0201001|1249001|1249001|0616011|0609011,"Crudo, Crudo, Negro, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0609011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4671,0201001|0201001|1249001|1249001|0616011|0608007,"Crudo, Crudo, Negro, Crudo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0608007 | 0616011 | 1249001,749.90,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4672,0201001|0201001|1249001|1249001|0616011|0606011,"Crudo, Crudo, Negro, Granate",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0606011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4675,0201001|0201001|1249001|1249001|0616011|0607011,"Crudo, Crudo, Negro, Rojo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0616011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4688,0201001|0201001|1249001|1249001|0607011|0615011,"Crudo, Crudo, Rojo, Amarillo",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0615011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
4689,0201001|0201001|1249001|1249001|0607011|0609011,"Crudo, Crudo, Rojo, Azul",UD-001,PENDING_BUSINESS_REVIEW_PLACEHOLDER_011,0201001 | 0607011 | 0609011 | 1249001,578.17,NO,EXCLUDED_FROM_PRICE_PROPAGATION,NO
